 Mach Number             (X)cp - Rocket          (X)cp - Nose/Body       (X)cp - Wing            (X)cp - Body-Wing       (X)cp - Wing-Tail      
 0.00000000000000E+0000  4.47439596914945E+0003  2.85300315862398E+0003  5.77780366590384E+0003  5.76750728610662E+0003  0.00000000000000E+0000 
 2.27000000000000E-0002  4.44706437798397E+0003  2.66631405395487E+0003  5.77780178078865E+0003  5.76750405770561E+0003  0.00000000000000E+0000 
 4.54000000000000E-0002  4.41635192261712E+0003  2.48573669740662E+0003  5.77779611672118E+0003  5.76749436104819E+0003  0.00000000000000E+0000 
 6.81000000000000E-0002  4.39350185894219E+0003  2.31148175865985E+0003  5.77778664743610E+0003  5.76747816166044E+0003  0.00000000000000E+0000 
 9.08000000000000E-0002  4.37760815875206E+0003  2.14377741995796E+0003  5.77777332882366E+0003  5.76745540171449E+0003  0.00000000000000E+0000 
 1.13500000000000E-0001  4.36801557065778E+0003  1.98286706890052E+0003  5.77775609842062E+0003  5.76742599946381E+0003  0.00000000000000E+0000 
 1.36200000000000E-0001  4.36410906966770E+0003  1.82900567579877E+0003  5.77773487468180E+0003  5.76738984843680E+0003  0.00000000000000E+0000 
 1.58900000000000E-0001  4.36527551180754E+0003  1.68245464045120E+0003  5.77770955601583E+0003  5.76734681637216E+0003  0.00000000000000E+0000 
 1.81600000000000E-0001  4.37184789874842E+0003  1.54347494130295E+0003  5.77768001956272E+0003  5.76729674387414E+0003  0.00000000000000E+0000 
 2.04300000000000E-0001  4.38263722237345E+0003  1.41231850748853E+0003  5.77764611968473E+0003  5.76723944275875E+0003  0.00000000000000E+0000 
 2.27000000000000E-0001  4.39651345565876E+0003  1.28921786712900E+0003  5.77760768613361E+0003  5.76717469405507E+0003  0.00000000000000E+0000 
 2.49700000000000E-0001  4.41288504974883E+0003  1.17437430408015E+0003  5.77756452184864E+0003  5.76710224561621E+0003  0.00000000000000E+0000 
 2.72400000000000E-0001  4.43117700791083E+0003  1.06794497232053E+0003  5.77751640032817E+0003  5.76702180928428E+0003  0.00000000000000E+0000 
 2.95100000000000E-0001  4.45084028533602E+0003  9.70029653456890E+0002  5.77746306250379E+0003  5.76693305754012E+0003  0.00000000000000E+0000 
 3.17800000000000E-0001  4.47136014040206E+0003  8.80658067373249E+0002  5.77740421302910E+0003  5.76683561955261E+0003  0.00000000000000E+0000 
 3.40500000000000E-0001  4.49226338133336E+0003  7.99778817487605E+0002  5.77733951587337E+0003  5.76672907652209E+0003  0.00000000000000E+0000 
 3.63200000000000E-0001  4.51312441170319E+0003  7.27251124441518E+0002  5.77726858908333E+0003  5.76661295618720E+0003  0.00000000000000E+0000 
 3.85900000000000E-0001  4.53356998522670E+0003  6.62840434428752E+0002  5.77719099854141E+0003  5.76648672633221E+0003  0.00000000000000E+0000 
 4.08600000000000E-0001  4.55328261120881E+0003  6.06218756961730E+0002  5.77710625050404E+0003  5.76634978709087E+0003  0.00000000000000E+0000 
 4.31300000000000E-0001  4.57200259412831E+0003  5.56970196150239E+0002  5.77701378264502E+0003  5.76620146178950E+0003  0.00000000000000E+0000 
 4.54000000000000E-0001  4.58952873630621E+0003  5.14601628421070E+0002  5.77691295325265E+0003  5.76604098600307E+0003  0.00000000000000E+0000 
 4.76700000000000E-0001  4.60571777612768E+0003  4.78557918819821E+0002  5.77680302812711E+0003  5.76586749440610E+0003  0.00000000000000E+0000 
 4.99400000000000E-0001  4.62048267222192E+0003  4.48240547797306E+0002  5.77668316458854E+0003  5.76568000487898E+0003  0.00000000000000E+0000 
 5.22100000000000E-0001  4.63222384320672E+0003  4.25120349416503E+0002  5.77655239182056E+0003  5.76547739916585E+0003  0.00000000000000E+0000 
