 Mach Number             (Cl)alpha - Rocket      (Cl)alpha - Nose/Body   (Cl)alpha - Wing        (Cl)alpha - Body-Wing   *                      
 0.00000000000000E+0000  9.41137082462932E+0000  4.18869562400465E+0000  3.69261471217184E+0000  1.53006048845282E+0000  0.00000000000000E+0000 
 2.27000000000000E-0002  9.23141007411078E+0000  3.94301032870368E+0000  3.73908427263491E+0000  1.54931547277219E+0000  0.00000000000000E+0000 
 4.54000000000000E-0002  8.98834319305535E+0000  3.71232800078634E+0000  3.73032795879868E+0000  1.54568723347033E+0000  0.00000000000000E+0000 
 6.81000000000000E-0002  8.76604951934265E+0000  3.49617077291935E+0000  3.72598927616193E+0000  1.54388947026137E+0000  0.00000000000000E+0000 
 9.08000000000000E-0002  8.56079259267704E+0000  3.29406077776942E+0000  3.72376428510532E+0000  1.54296752980230E+0000  0.00000000000000E+0000 
 1.13500000000000E-0001  8.37107222582566E+0000  3.10552014800325E+0000  3.72293016957066E+0000  1.54262190825176E+0000  0.00000000000000E+0000 
 1.36200000000000E-0001  8.19595709991169E+0000  2.93007101628754E+0000  3.72316632339797E+0000  1.54271976022618E+0000  0.00000000000000E+0000 
 1.58900000000000E-0001  8.03473024456138E+0000  2.76723551528901E+0000  3.72430369234379E+0000  1.54319103692858E+0000  0.00000000000000E+0000 
 1.81600000000000E-0001  7.89212090223541E+0000  2.61653577767436E+0000  3.73002388583135E+0000  1.54556123872970E+0000  0.00000000000000E+0000 
 2.04300000000000E-0001  7.76424502266048E+0000  2.47749393611030E+0000  3.73791861294586E+0000  1.54883247360433E+0000  0.00000000000000E+0000 
 2.27000000000000E-0001  7.64774651597005E+0000  2.34963212326353E+0000  3.74595286931447E+0000  1.55216152339205E+0000  0.00000000000000E+0000 
 2.49700000000000E-0001  7.54226218130502E+0000  2.23247247180076E+0000  3.75420772815988E+0000  1.55558198134438E+0000  0.00000000000000E+0000 
 2.72400000000000E-0001  7.44740237353028E+0000  2.12553711438869E+0000  3.76274556567331E+0000  1.55911969346828E+0000  0.00000000000000E+0000 
 2.95100000000000E-0001  7.36275996064290E+0000  2.02834818369404E+0000  3.77161639421653E+0000  1.56279538273233E+0000  0.00000000000000E+0000 
 3.17800000000000E-0001  7.28791596487178E+0000  1.94042781238351E+0000  3.78086185077736E+0000  1.56662630171091E+0000  0.00000000000000E+0000 
 3.40500000000000E-0001  7.22244327154315E+0000  1.86129813312381E+0000  3.79051781926780E+0000  1.57062731915155E+0000  0.00000000000000E+0000 
 3.63200000000000E-0001  7.16590916130637E+0000  1.79048127858163E+0000  3.80061622089652E+0000  1.57481166182822E+0000  0.00000000000000E+0000 
 3.85900000000000E-0001  7.11787709933047E+0000  1.72749938142370E+0000  3.81118627919368E+0000  1.57919143871309E+0000  0.00000000000000E+0000 
 4.08600000000000E-0001  7.07790804111177E+0000  1.67187457431671E+0000  3.82225544326271E+0000  1.58377802353235E+0000  0.00000000000000E+0000 
 4.31300000000000E-0001  7.04556141621580E+0000  1.62312898992737E+0000  3.83385008332041E+0000  1.58858234296802E+0000  0.00000000000000E+0000 
 4.54000000000000E-0001  7.02039589354253E+0000  1.58078476092239E+0000  3.84599603176633E+0000  1.59361510085382E+0000  0.00000000000000E+0000 
 4.76700000000000E-0001  7.00196999666622E+0000  1.54436401996848E+0000  3.85871901824962E+0000  1.59888695844812E+0000  0.00000000000000E+0000 
 4.99400000000000E-0001  6.98984261593319E+0000  1.51338889973234E+0000  3.87204503174019E+0000  1.60440868446067E+0000  0.00000000000000E+0000 
 5.22100000000000E-0001  6.98691266410569E+0000  1.49072074696036E+0000  3.88600063273001E+0000  1.61019128441532E+0000  0.00000000000000E+0000 
 5.44800000000000E-0001  6.99644534779089E+0000  1.47958599926902E+0000  3.90061323225653E+0000  1.61624611626534E+0000  0.00000000000000E+0000 
 5.67500000000000E-0001  7.01800559822411E+0000  1.47950925061180E+0000  3.91591135019407E+0000  1.62258499741824E+0000  0.00000000000000E+0000 
 5.90200000000000E-0001  7.05115780325704E+0000  1.49001263365539E+0000  3.93192486244181E+0000  1.62922030715983E+0000  0.00000000000000E+0000 
 6.12900000000000E-0001  7.09587780865435E+0000  1.51061828106650E+0000  3.94897456008791E+0000  1.63628496749994E+0000  0.00000000000000E+0000 
