 Mach Number             (X)cp - Rocket          (X)cp - Nose/Body       (X)cp - Wing            (X)cp - Body-Wing       (X)cp - Wing-Tail      
 0.00000000000000E+0000  2.71017771068620E+0003  1.27122480658887E+0003  3.39663975760234E+0003  3.38377641838196E+0003  0.00000000000000E+0000 
 3.00000000000000E-0002  2.71859046608127E+0003  1.15595913026253E+0003  3.39663780721045E+0003  3.38377176513115E+0003  0.00000000000000E+0000 
 6.00000000000000E-0002  2.72985335822049E+0003  1.04750555084871E+0003  3.39663193826483E+0003  3.38375777324319E+0003  0.00000000000000E+0000 
 9.00000000000000E-0002  2.73860965226153E+0003  9.46099382478111E+0002  3.39662209706996E+0003  3.38373434573724E+0003  0.00000000000000E+0000 
 1.20000000000000E-0001  2.74773206992907E+0003  8.51951614932828E+0002  3.39660819283241E+0003  3.38370131904379E+0003  0.00000000000000E+0000 
 1.50000000000000E-0001  2.75731268183765E+0003  7.65234475616987E+0002  3.39659009565347E+0003  3.38365846002931E+0003  0.00000000000000E+0000 
 1.80000000000000E-0001  2.76791860833169E+0003  6.86065764514298E+0002  3.39656763360302E+0003  3.38360546167965E+0003  0.00000000000000E+0000 
 2.10000000000000E-0001  2.77927941689800E+0003  6.14493043770121E+0002  3.39654058874948E+0003  3.38354193727979E+0003  0.00000000000000E+0000 
 2.40000000000000E-0001  2.79108953472742E+0003  5.50479123303259E+0002  3.39650869197013E+0003  3.38346741286369E+0003  0.00000000000000E+0000 
 2.70000000000000E-0001  2.80304846423336E+0003  4.93890528502693E+0002  3.39647161630279E+0003  3.38338131762871E+0003  0.00000000000000E+0000 
 3.00000000000000E-0001  2.81488050667920E+0003  4.44490672014460E+0002  3.39642896851768E+0003  3.38328297190802E+0003  0.00000000000000E+0000 
 3.30000000000000E-0001  2.82634534049276E+0003  4.01939203785411E+0002  3.39638027848002E+0003  3.38317157216222E+0003  0.00000000000000E+0000 
 3.60000000000000E-0001  2.83724372749439E+0003  3.65798456003034E+0002  3.39632498572725E+0003  3.38304617227631E+0003  0.00000000000000E+0000 
 3.90000000000000E-0001  2.84742020500002E+0003  3.35547080097208E+0002  3.39626242248452E+0003  3.38290566021015E+0003  0.00000000000000E+0000 
 4.20000000000000E-0001  2.85676369270773E+0003  3.10600018194884E+0002  3.39619179206291E+0003  3.38274872872460E+0003  0.00000000000000E+0000 
 4.50000000000000E-0001  2.86520655401584E+0003  2.90333044588846E+0002  3.39611214118914E+0003  3.38257383844882E+0003  0.00000000000000E+0000 
 4.80000000000000E-0001  2.87272247629866E+0003  2.74109446447624E+0002  3.39602232424722E+0003  3.38237917090590E+0003  0.00000000000000E+0000 
 5.10000000000000E-0001  2.87928796713511E+0003  2.61602223080084E+0002  3.39592095657837E+0003  3.38216256817537E+0003  0.00000000000000E+0000 
 5.40000000000000E-0001  2.88448944683033E+0003  2.56169268316550E+0002  3.39580635274051E+0003  3.38192145448686E+0003  0.00000000000000E+0000 
 5.70000000000000E-0001  2.88827856672049E+0003  2.58708157997769E+0002  3.39567644372822E+0003  3.38165273295277E+0003  0.00000000000000E+0000 
