 Mach Number             (Cl)alpha - Rocket      (Cl)alpha - Nose/Body   (Cl)alpha - Wing        (Cl)alpha - Body-Wing   *                      
 0.00000000000000E+0000  1.39457678354017E+0001  4.48828923791581E+0000  6.83271042574353E+0000  2.62476817174237E+0000  0.00000000000000E+0000 
 3.00000000000000E-0002  1.39560819352670E+0001  4.20768724080731E+0000  7.04288752826833E+0000  2.70550716619143E+0000  0.00000000000000E+0000 
 6.00000000000000E-0002  1.39692874936551E+0001  3.94981812377503E+0000  7.23872987058062E+0000  2.78073949929954E+0000  0.00000000000000E+0000 
 9.00000000000000E-0002  1.38855962828612E+0001  3.71370256449263E+0000  7.34885133946042E+0000  2.82304237890822E+0000  0.00000000000000E+0000 
 1.20000000000000E-0001  1.37760401581334E+0001  3.49836124063373E+0000  7.42527759044704E+0000  2.85240132705264E+0000  0.00000000000000E+0000 
 1.50000000000000E-0001  1.36529563789565E+0001  3.30281482987198E+0000  7.47762940633571E+0000  2.87251214274882E+0000  0.00000000000000E+0000 
 1.80000000000000E-0001  1.35380996295011E+0001  3.12608400988101E+0000  7.52233134274235E+0000  2.88968427687781E+0000  0.00000000000000E+0000 
 2.10000000000000E-0001  1.34345463021443E+0001  2.96718945833445E+0000  7.56231351722965E+0000  2.90504332658024E+0000  0.00000000000000E+0000 
 2.40000000000000E-0001  1.33437080809956E+0001  2.82515185290594E+0000  7.59930335158709E+0000  2.91925287650257E+0000  0.00000000000000E+0000 
 2.70000000000000E-0001  1.32661375811843E+0001  2.69899187126912E+0000  7.63440761913881E+0000  2.93273809077639E+0000  0.00000000000000E+0000 
 3.00000000000000E-0001  1.32019009415514E+0001  2.58773019109763E+0000  7.66838163044076E+0000  2.94578912001302E+0000  0.00000000000000E+0000 
 3.30000000000000E-0001  1.31507694701690E+0001  2.49038749006510E+0000  7.70176769072757E+0000  2.95861428937633E+0000  0.00000000000000E+0000 
 3.60000000000000E-0001  1.31123264278405E+0001  2.40598444584516E+0000  7.73497224740239E+0000  2.97136973459300E+0000  0.00000000000000E+0000 
 3.90000000000000E-0001  1.30860303883497E+0001  2.33354173611146E+0000  7.76831166568725E+0000  2.98417698655099E+0000  0.00000000000000E+0000 
 4.20000000000000E-0001  1.30712548094573E+0001  2.27208003853763E+0000  7.80204081733844E+0000  2.99713395358128E+0000  0.00000000000000E+0000 
 4.50000000000000E-0001  1.30673138359318E+0001  2.22062003079731E+0000  7.83637172246860E+0000  3.01032208266594E+0000  0.00000000000000E+0000 
 4.80000000000000E-0001  1.30734797690103E+0001  2.17818239056412E+0000  7.87148617064542E+0000  3.02381120780076E+0000  0.00000000000000E+0000 
 5.10000000000000E-0001  1.30894152061458E+0001  2.14420769960062E+0000  7.90754456074354E+0000  3.03766294580171E+0000  0.00000000000000E+0000 
 5.40000000000000E-0001  1.31198008338130E+0001  2.12317538873617E+0000  7.94469229320242E+0000  3.05193315187442E+0000  0.00000000000000E+0000 
 5.70000000000000E-0001  1.31655240430967E+0001  2.11578575200001E+0000  7.98306453935663E+0000  3.06667375174008E+0000  0.00000000000000E+0000 
 6.00000000000000E-0001  1.32257835352874E+0001  2.12105946706577E+0000  8.02278991528602E+0000  3.08193415293564E+0000  0.00000000000000E+0000 
 6.30000000000000E-0001  1.33023798837977E+0001  2.13801721160710E+0000  8.06587680223110E+0000  3.09848586995951E+0000  0.00000000000000E+0000 
 6.60000000000000E-0001  1.33971119835165E+0001  2.16567966329762E+0000  8.11433236875555E+0000  3.11709995146338E+0000  0.00000000000000E+0000 
 6.90000000000000E-0001  1.35091730241184E+0001  2.20306749981099E+0000  8.16828124898197E+0000  3.13782427532553E+0000  0.00000000000000E+0000 
 7.20000000000000E-0001  1.36377599447675E+0001  2.24920139882082E+0000  8.22785078591307E+0000  3.16070776003361E+0000  0.00000000000000E+0000 
 7.50000000000000E-0001  1.37820758128059E+0001  2.30310203800077E+0000  8.29317274995451E+0000  3.18580102485070E+0000  0.00000000000000E+0000 
 7.80000000000000E-0001  1.39413321225086E+0001  2.36379009502446E+0000  8.36438499968731E+0000  3.21315702779684E+0000  0.00000000000000E+0000 
 8.10000000000000E-0001  1.41147510992082E+0001  2.43028624756553E+0000  8.44163314652135E+0000  3.24283170512140E+0000  0.00000000000000E+0000 
 8.40000000000000E-0001  1.43015680854436E+0001  2.50161117329762E+0000  8.52507227860687E+0000  3.27488463353919E+0000  0.00000000000000E+0000 
 8.70000000000000E-0001  1.45010340827478E+0001  2.57678554989437E+0000  8.61486879719120E+0000  3.30937973566227E+0000  0.00000000000000E+0000 
 9.00000000000000E-0001  1.47124185244303E+0001  2.65483005502940E+0000  8.71120241986081E+0000  3.34638604954016E+0000  0.00000000000000E+0000 
 9.30000000000000E-0001  1.49350123609017E+0001  2.73476536637637E+0000  8.81426840958428E+0000  3.38597858494105E+0000  0.00000000000000E+0000 
 9.60000000000000E-0001  1.51681315499085E+0001  2.81561216160889E+0000  8.92428009629023E+0000  3.42823929200944E+0000  0.00000000000000E+0000 
 9.90000000000000E-0001  1.54111210601009E+0001  2.89639111840062E+0000  9.04147176930979E+0000  3.47325817239050E+0000  0.00000000000000E+0000 
 1.02000000000000E+0000  1.56922827509091E+0001  3.01002554365791E+0000  9.16250458816600E+0000  3.51975261908520E+0000  0.00000000000000E+0000 
 1.05000000000000E+0000  1.63995141603239E+0001  3.14481475619551E+0000  9.57607483592510E+0000  3.67862456820334E+0000  0.00000000000000E+0000 
 1.08000000000000E+0000  1.68801239166703E+0001  3.03341606895272E+0000  1.00037810393221E+0001  3.84292680839542E+0000  0.00000000000000E+0000 
 1.11000000000000E+0000  1.65624034462371E+0001  2.93836907973443E+0000  9.84290693308437E+0000  3.78112743341831E+0000  0.00000000000000E+0000 
 1.14000000000000E+0000  1.60198274673288E+0001  2.85512479772896E+0000  9.51105521997167E+0000  3.65364744962819E+0000  0.00000000000000E+0000 
 1.17000000000000E+0000  1.60825823173882E+0001  2.78150672070265E+0000  9.60958007636785E+0000  3.69149552031765E+0000  0.00000000000000E+0000 
 1.20000000000000E+0000  1.63644955238550E+0001  2.71630299883644E+0000  9.86036039066894E+0000  3.78783213434962E+0000  0.00000000000000E+0000 
 1.23000000000000E+0000  1.67492450582704E+0001  2.65878383150435E+0000  1.01798846632602E+0001  3.91057656350573E+0000  0.00000000000000E+0000 
 1.26000000000000E+0000  1.70890959559849E+0001  2.60849265036363E+0000  1.04617492027607E+0001  4.01885410286055E+0000  0.00000000000000E+0000 
 1.29000000000000E+0000  1.72538405278393E+0001  2.56514165314391E+0000  1.06120912574328E+0001  4.07660761726253E+0000  0.00000000000000E+0000 
 1.32000000000000E+0000  1.69176723292945E+0001  2.52855401323450E+0000  1.03956543725656E+0001  3.99346394349435E+0000  0.00000000000000E+0000 
 1.35000000000000E+0000  1.63984634683617E+0001  2.49862944678514E+0000  1.00421629143922E+0001  3.85767110718438E+0000  0.00000000000000E+0000 
 1.38000000000000E+0000  1.59299301443472E+0001  2.47532248862961E+0000  9.72050182888589E+0000  3.73410582683178E+0000  0.00000000000000E+0000 
 1.41000000000000E+0000  1.55508520988079E+0001  2.45862814794275E+0000  9.42721525919317E+0000  3.66500869167203E+0000  0.00000000000000E+0000 
 1.44000000000000E+0000  1.52253399203720E+0001  2.44857207856034E+0000  9.15941847474122E+0000  3.61734936707045E+0000  0.00000000000000E+0000 
 1.47000000000000E+0000  1.49481017769458E+0001  2.47983084546847E+0000  8.91466687556543E+0000  3.55360405591198E+0000  0.00000000000000E+0000 
 1.50000000000000E+0000  1.46431719588903E+0001  2.47786967387226E+0000  8.69086218992763E+0000  3.47444009509049E+0000  0.00000000000000E+0000 
 1.53000000000000E+0000  1.43449743786966E+0001  2.47863596045201E+0000  8.48618376515545E+0000  3.38015465308920E+0000  0.00000000000000E+0000 
